entity:ID,name,:LABEL
e0,外部排序,Sort
e1,归并排序,Sort
e2,二维数组,Linear
e3,简单环,Graph
e4,哈希地址,Linear
e5,区间树,Tree
e6,并查集,Linear
e7,符号表,Define
e8,直接插入排序,Sort
e9,逻辑结构,Define
e10,邻接表,Graph
e11,指示器,Define
e12,链式基数排序,Sort
e13,空间复杂度,Define
e14,连通图,Graph
e15,非线性数据结构,Tree
e16,稀疏图,Graph
e17,B树,Tree
e18,有限序列,Linear
e19,二路插入排序,Sort
e20,深度,Graph
e21,时间复杂度,Define
e22,活动,Define
e23,字典,Linear
e24,实值参数,Define
e25,双端队列,Linear
e26,一维数组,Linear
e27,链地址法,Sort
e28,约瑟夫环问题,Define
e29,除留余数法,Define
e30,0-1背包问题,Define
e31,起泡排序,Sort
e32,后进先出,Linear
e33,顺序文件,Linear
e34,布鲁姆过滤器,Sort
e35,内存,Define
e36,栈顶指针,Linear
e37,队头,Linear
e38,折半查找,Sort
e39,有向边,Graph
e40,子集,Linear
e41,冲突,Linear
e42,排序,Sort
e43,链表,Linear
e44,NP问题,Graph
e45,二叉排序树,Tree
e46,中缀表达式,Tree
e47,静态查找表,Linear
e48,数组指针,Linear
e49,网结构,Graph
e50,多关键字排序,Sort
e51,交换排序,Sort
e52,变量名,Define
e53,索引顺序文件,Linear
e54,平衡二叉排序树,Tree
e55,循环链表,Linear
e56,编译,Define
e57,空栈,Linear
e58,顺序映像,Linear
e59,回路,Graph
e60,KD树,Tree
e61,路径压缩,Graph
e62,内部排序,Sort
e63,空树,Tree
e64,有序链表,Linear
e65,二叉树,Tree
e66,栈底,Linear
e67,带权路径长度,Graph
e68,无向图,Graph
e69,队尾元素,Linear
e70,取模,Define
e71,索引顺序查找,Linear
e72,优先队列,Linear
e73,枚举型,Define
e74,外部结点,Graph
e75,遍历二叉树,Tree
e76,出栈,Linear
e77,图结构,Graph
e78,检索,Define
e79,整型,Define
e80,可读性,Define
e81,修改,Define
e82,数据域,Define
e83,哨兵,Define
e84,Tarjan算法,Graph
e85,三元组,Linear
e86,简单回路,Graph
e87,文件,Define
e88,替罪羊树,Tree
e89,模式串,Linear
e90,装填因子,Linear
e91,伪代码,Define
e92,胜者树,Tree
e93,栈顶,Linear
e94,递归,Define
e95,克鲁斯卡尔算法,Graph
e96,引用,Define
e97,三元组表,Linear
e98,哈希函数,Linear
e99,正则表达式,Define
e100,路径,Graph
e101,堆排序,Sort
e102,删除,Define
e103,回文串,Linear
e104,邻接多重表,Graph
e105,引用参数,Define
e106,变量,Define
e107,非完全二叉树,Tree
e108,随机存取,Linear
e109,索引文件,Tree
e110,链栈,Linear
e111,前缀树,Tree
e112,广度优先遍历,Graph
e113,最短路径,Graph
e114,折半插入排序,Sort
e115,有序树,Tree
e116,字符型,Define
e117,确定性,Define
e118,特殊矩阵,Tree
e119,稠密图,Graph
e120,二元组,Linear
e121,邻接点,Graph
e122,枚举法,Define
e123,非连通图,Graph
e124,记录,Define
e125,赋值,Define
e126,存储地址,Define
e127,负载因子,Linear
e128,内部结点,Linear
e129,简单路径,Graph
e130,希尔排序,Sort
e131,地址排序,Sort
e132,先进先出,Linear
e133,AC自动机,Define
e134,元素,Linear
e135,大O表示法,Define
e136,归并树,Tree
e137,神经网络算法,Define
e138,数据,Define
e139,带权邻接矩阵,Graph
e140,生成树,Tree
e141,字符串,Linear
e142,键树,Tree
e143,可行性,Define
e144,森林,Tree
e145,集合,Define
e146,指针,Define
e147,有穷性,Define
